type_of_investment	Kpi_description	monitoring_Type_Code	date	loginUser_id	monitoring_type_id	project_id
LOT I – Procurement of AMR meters - Xylem Water Solutions	Number of AMR meters installed	Germp-xylem-Tec	2025-04-11 11:31:05.9616500 +00:00	5	Tec	D309& D6530 -GM
GESREP  ESIA	Number of ESIA conducted	GESREP ESIA	2025-02-27 13:16:00.2994350 +00:00	2	ESS	ADF-16 and TSF-
Development of Grid code to support dispatch of renewable energy and imports, and set quality standards	Grid code to support dispatch of renewable energy and imports, and  quality standards developed	Grid-Code	2025-04-01 16:09:39.9406700 +00:00	5	Tec	D309& D6530 -GM
Service Connection	Number of customers connected	GSERVConnect	2025-03-10 11:54:17.2122850 +00:00	2	Tec	GEAP 1
Design, Supply and Installation of Integrated Management System for NAWEC (INDRA)	IMIS systems Designed and Development	IMIS-Indra	2025-04-01 15:40:05.5289610 +00:00	5	Tec	D309& D6530 -GM
Final  investment Commissioning	Investment Commissioned	InvestCommissio	2025-01-30 12:18:34.4873330 +00:00	2	Tec	ECOREAP-P164044
200 daN LV Poles JMC	Number of 200daN LV poles certified	JMC-200daNLV	2025-04-28 13:40:16.0650530 +00:00	13	Tec	ECOREAP-P164044
300 daN LV Poles JMC	Number of 300daN LV poles certified	JMC-300daNLV	2025-04-28 13:41:14.5365540 +00:00	13	Tec	ECOREAP-P164044
Load break Switchers(LBS)  Installations	Number of Load Break Switches installed	LBSinstall	2025-01-30 12:02:00.3732180 +00:00	2	Tec	ECOREAP-P164044
Line/section  Pre-commissioning Tests	Line/section  pre commissioning  Conducted	Linecommission	2025-01-30 12:16:25.7296400 +00:00	2	Tec	ECOREAP-P164044
Loss reduction Strategy	Loss Reduction Strategy Produced	Loss-RedStrag	2025-04-01 15:32:38.7943540 +00:00	5	Tec	D309& D6530 -GM
LV Neutral Earthing	Number of LV Neutral Earthed	LV Neutral Eart	2025-04-30 21:16:37.9518490 +00:00	13	Tec	ECOREAP-P164044
LV Stringing	kilometers strung	LV Stringing	2025-04-30 21:08:55.1260340 +00:00	13	Tec	ECOREAP-P164044
LV pole  Earthing	Number of LV Pole Earthened	LVEarthened	2025-01-30 13:00:45.9761200 +00:00	2	Tec	ECOREAP-P164044
LV Electromechanical Works-Pole foundation, erection and dressing,  Earthing	Number of  LV Poles concreted	LVpoleconcret	2025-01-30 12:04:05.5326210 +00:00	2	Tec	ECOREAP-P164044
Low Voltage Service Cable stringing	Kilometers of Low Voltage Service Cable strung	LVservicecable	2025-01-30 12:10:35.3745680 +00:00	2	Tec	ECOREAP-P164044
LV Electromechanical cable Stringing Works ( various sizes)	Kilometers  of LV strung	LVStringing	2025-01-30 12:05:38.8234640 +00:00	2	Tec	ECOREAP-P164044
NAWEC Performance Contract	Performance Contract for NAWEC conducted	MAI-Contract	2025-04-01 16:04:25.4583300 +00:00	5	Tec	D309& D6530 -GM
Accessories for MD Meters	Number of Maximum Demand Meters Procured	MaxDemand	2025-04-01 15:15:14.0239930 +00:00	5	Tec	D309& D6530 -GM
Support to the MoPE to develop an electrification policy	Energy Policy for MOPE Prepared	Mope-Policy	2025-04-02 07:50:29.5110570 +00:00	5	Tec	D309& D6530 -GM
MV poles concreting	Number of MV poles concreted	MV pole-concret	2025-04-28 13:57:28.6160460 +00:00	13	Tec	ECOREAP-P164044
MV Line Stringing (148mm sq)	kilometers of MV Line Strung (148mm sq)	MV string	2025-04-28 14:22:38.7320970 +00:00	13	Tec	ECOREAP-P164044
MV Line Stringing (54.6mm sq)	Kilometers of MV Line Strung (54.6mm sq)	MV string1	2025-04-28 14:24:51.4657160 +00:00	13	Tec	ECOREAP-P164044
MV  Pole Earthing,	Number of MV Poles earth Installed	MVEarth	2025-01-30 13:02:08.3368530 +00:00	2	Tec	ECOREAP-P164044
MV Electromechanical Works-Pole foundation, erection and dressing,  Earthing	Number of MV Pole Concreted	MVPoleConc	2025-01-30 11:43:57.7809470 +00:00	2	Tec	ECOREAP-P164044
MV Electromechanical Line Stringing Works ( various sizes)	Kilometers of  MV  Strung	MvString	2025-01-30 11:51:54.1695180 +00:00	2	Tec	ECOREAP-P164044
Recruit a Consultant for Non-Revenue Water (NRW) reduction	Non-Revenue Water (NRW) reduction Consultant recruited	NRW-consult	2025-04-02 08:09:47.2534270 +00:00	5	Tec	D309& D6530 -GM
Owners Engineer fees - Electricity	Owner's Engineer recruited and functional	OE-MAI	2025-04-01 16:11:54.3176010 +00:00	5	Tec	D309& D6530 -GM
production and submission of Operation & Maintenance Manuals	Operation & Maintenance Manuals produced and submitted	OMManual	2025-01-30 12:26:24.3215300 +00:00	2	Tec	ECOREAP-P164044
Procurement of PPE for NAWEC	Personal Protection Equipment Procured	PPE-01	2025-04-01 16:01:29.1717030 +00:00	5	Tec	D309& D6530 -GM
Installation of 36kV Remote controlled switch disconnector 200 Amps	Number of Remote LBS	Remote LBS	2025-04-30 21:31:19.6187970 +00:00	13	Tec	ECOREAP-P164044
Conduct sanitation studies in the GBA (Banjul and Kotu)	Sanitation Studies for GBA and Kotu conducted	Sanitation-Stud	2025-04-02 07:56:35.0059650 +00:00	5	Tec	D309& D6530 -GM
Service poles erections	Number of Service Poles Erected	ServicePoles	2025-01-30 12:09:19.9047350 +00:00	2	Tec	ECOREAP-P164044
Soma Feeder Additional Communities	ESIA Conducted	Soma Feeder.Add	2025-02-27 13:23:00.2825210 +00:00	2	ESS	ECOREAP-P164044
Soma Feeder 1,2,3& 4	ESIA Conducted	Soma Feeder1234	2025-02-27 13:22:25.1824870 +00:00	2	ESS	ECOREAP-P164044
Purchase of Spare for Water Business Unit: Hylands	Spare for Water Business Unit Procured	Spare-Parts	2025-04-02 08:11:05.0652170 +00:00	5	Tec	D309& D6530 -GM
Street Lighting Installations	Number of Street Lights Installed	SteetLights	2025-01-30 12:12:26.6169910 +00:00	2	Tec	ECOREAP-P164044
Street light bulb replacement	Number of Street Light bulbs replaced	StrtLight	2025-04-01 15:24:06.4835360 +00:00	5	Tec	D309& D6530 -GM
System Energization	System Energized	SystemEnergise	2025-01-30 12:19:57.6916660 +00:00	2	Tec	ECOREAP-P164044
Construction of  33/11kV primary substations at Tanji	Total Compliance	TanjiSS	2025-02-27 13:31:33.3279150 +00:00	2	ESS	ADF-16 and TSF-
Procurement of Test Bench - Meter workshop- JV Hangzhou Liason Technology & MBH	Test Bench - Meter workshop Procured	Test-Bench	2025-04-02 08:07:59.0238470 +00:00	5	Tec	D309& D6530 -GM
